Title,Location,Price
                        Apartment Keizersgracht                            ,            1016 EG Amsterdam (Grachtengordel-West)        ,"                €6,000 per month            "
                        Apartment Reguliersgracht 78 B                            ,            1017 LV Amsterdam (Grachtengordel-Zuid)        ,"                €5,500 per month            "
                        Apartment Pieter Calandlaan 712                            ,            1060 TX Amsterdam (Middelveldsche Akerpolder)        ,"                €1,850 per month            "
                        Apartment Wilhelminastraat 123 2                            ,            1054 WB Amsterdam (Overtoomse Sluis)        ,"                €1,850 per month            "
                        Apartment John Blankensteinstraat                            ,            1095 MB Amsterdam (Zeeburgereiland/Nieuwe Diep)        ,"                €1,300 per month            "
                        House Uranusstraat 23                            ,            1033 VV Amsterdam (Tuindorp Oostzaan)        ,"                €1,750 per month            "
                        Project: Q-Residences | Quartz - APPARTEMENT H–F’ LUXE                            ,            1081 AB Amsterdam (Buitenveldert-West)        ,"                €1,950 - €2,000 per month            "
                        Project: Q-Residences | Quartz - APPARTEMENT H–I LUXE                            ,            1081 AB Amsterdam (Buitenveldert-West)        ,"                €2,790 - €2,850 per month            "
                        Project: Q-Residences | Quartz - APPARTEMENT H–I’ LUXE                            ,            1081 AB Amsterdam (Buitenveldert-West)        ,"                €2,790 - €2,850 per month            "
                        Project: Q-Residences | Quartz - APPARTEMENT H–F LUXE                            ,            1081 AB Amsterdam (Buitenveldert-West)        ,"                €1,950 - €2,000 per month            "
                        Project: Q-Residences | Quartz - APPARTEMENT H–G LUXE                            ,            1081 AB Amsterdam (Buitenveldert-West)        ,"                €1,900 - €1,925 per month            "
                        Project: Q-Residences | Quartz - APPARTEMENT H–J LUXE                            ,            1081 AB Amsterdam (Buitenveldert-West)        ,"                €1,575 - €1,650 per month            "
                        Project: Q-Residences | Quartz - APPARTEMENT H-A LUXE                            ,            1081 AB Amsterdam (Buitenveldert-West)        ,"                €1,650 - €1,675 per month            "
                        Project: Q-Residences | Quartz - APPARTEMENT H–A’ LUXE                            ,            1081 AB Amsterdam (Buitenveldert-West)        ,"                €1,650 - €1,675 per month            "
                        Project: Q-Residences | Quartz - APPARTEMENT H–H LUXE                            ,            1081 AB Amsterdam (Buitenveldert-West)        ,"                €1,575 - €1,700 per month            "
                        Project: Q-Residences | Quartz - APPARTEMENT H–E LUXE                            ,            1081 AB Amsterdam (Buitenveldert-West)        ,"                €1,550 - €1,675 per month            "
                        Project: Q-Residences | Quartz - APPARTEMENT H–D’ LUXE                            ,            1081 AB Amsterdam (Buitenveldert-West)        ,"                €1,350 per month            "
                        Project: Q-Residences | Quartz - APPARTEMENT H–G’ LUXE                            ,            1081 AB Amsterdam (Buitenveldert-West)        ,"                €1,900 - €1,925 per month            "
                        Project: Q-Residences | Quartz - APPARTEMENT H–D LUXE                            ,            1081 AB Amsterdam (Buitenveldert-West)        ,"                €1,350 per month            "
                        Project: Q-Residences | Quartz - APPARTEMENT H–B LUXE                            ,            1081 AB Amsterdam (Buitenveldert-West)        ,"                €1,350 per month            "
                        Apartment Langswater                            ,            1069 TR Amsterdam (De Punt)        ,"                €1,595 per month            "
                        Apartment Lambertus Zijlplein                            ,            1067 JS Amsterdam (Geuzenveld)        ,"                €1,595 per month            "
                        Apartment Rozenstraat 37 2                            ,            1016 NM Amsterdam (Jordaan)        ,"                €1,500 per month            "
                        Apartment Cliostraat 3 3                            ,            1077 KA Amsterdam (Apollobuurt)        ,"                €4,500 per month            "
                        Apartment Buiten Brouwersstraat                            ,            1013 GK Amsterdam (Haarlemmerbuurt)        ,"                €2,650 per month            "
                        Apartment Haarlemmerstraat                            ,            1013 EW Amsterdam (Haarlemmerbuurt)        ,"                €2,950 per month            "
                        Apartment Amstelkade 59 hs                            ,            1078 AK Amsterdam (IJselbuurt)        ,"                €3,500 per month            "
                        Project: The Hub Apartments - The Hub Apartments | Type T5                            ,            1068 TD Amsterdam (Osdorp-Oost)        ,"                €1,540 - €1,550 per month            "
                        Project: The Hub Apartments - The Hub Apartments | Type T7                            ,            1068 TD Amsterdam (Osdorp-Oost)        ,"                €2,045 per month            "
                        Project: The Hub Apartments - The Hub Apartments | Type T8                            ,            1068 TD Amsterdam (Osdorp-Oost)        ,"                €1,825 - €1,860 per month            "
                        Project: The Hub Apartments - The Hub Apartments | Type T1                            ,            1068 TD Amsterdam (Osdorp-Oost)        ,"                €1,530 - €1,650 per month            "
                        Project: The Hub Apartments - The Hub Apartments | Type T6                            ,            1068 TD Amsterdam (Osdorp-Oost)        ,"                €1,540 - €1,550 per month            "
